## "Objects"
en "attack"
de "angreifen"

## "boxed"
pl "zapakowany"
en "boxed"
de "eingepackt"

## "packtobox"
pl "pakuj"
en "pack"
de "einpacken"

## "build"
pl "robi"
en "makes"
de "macht"

## "buildup"
pl "budowa"
en "buildup"
de "aufbauen"

## "catch"
pl "³ap"
en "catch"
de "fangen"

## "clanname0"
pl "Wigglesy"
en "Diggles"
de "Wiggles"

## "clanname1"
pl "Hippisi"
en "Voodoos"
de "Voodoos"

## "clanname2"
pl "Pukniêci"
en "Knockers"
de "Knockers"

## "clanname3"
pl "Jajog³owi"
en "Brains"
de "Brains"

## "clanname4"
pl "Wampiry"
en "Vampires"
de "Vampire"

## "conquer"
pl "podbij"
en "conquer"
de "erobern"

## "continue"
pl "kontynuuj"
en "continue"
de "weiter"

## "dead!"
pl "nie ¿yje!"
en "dead!"
de "tot!"

## "defensiv"
pl "defensywny"
en "defensive"
de "defensiv"

## "dig"
pl "kop"
en "dig"
de "graben"

## "erfuellt"
pl "wykonano"
en "fulfilled"
de "erfuellt"

## "erfunden"
pl "wynaleziono"
en "invented"
de "erfunden"

## "grab"
pl "chwyæ"
en "grab"
de "greife"

## "harvest"
pl "zbieraj"
en "harvest"
de "ernten"

## "idle"
pl "wolny"
en "idle"
de "frei"

## "inactive"
pl "nieaktywne"
en "inactive"
de "inaktiv"

## "invent"
pl "wynajdŸ"
en "invent"
de "erfinden"

## "istfasttot"
pl "ledwo zipie"
en "is almost dead"
de "ist fast tot"

## "istgestorben"
pl "nie ¿yje"
en "has died"
de "ist gestorben"

## "istsehralt"
pl "jest bardzo stary"
en "is very old"
de "ist sehr alt"

## "istsehrhungrig"
pl "cierpi straszny g³ód"
en "is very hungry"
de "ist sehr hungrig"

## "istvonaltergestorben"
pl "umar³ ze staroœci"
en "has died of old age"
de "ist durch Altersschwäche gestorben"

## "mince"
pl "zniszcz"
en "destroy"
de "zerhacken"

## "mine"
pl "kop"
en "mine"
de "abbauen"

## "move"
pl "ruch"
en "move"
de "bewegen"

## "no Energy!"
pl "Brak energii!"
en "No energy!"
de "Keine Energie!"

## "none"
pl "nic"
en "none"
de "Nichts"

## "normal"
pl "normalne"
en "normal"
de "normal"

## "open"
pl "otwórz"
en "open"
de "öffnen"

## "pack"
pl "pakuj"
en "pack"
de "einpacken"

## "pickup"
pl "podnieœ"
en "pick up"
de "aufheben"

## "Reparieren"
pl "napraw"
en "repair"
de "Reparieren"

## "poison"
pl "otruj"
en "poison"
de "vergiften"

## "preg."
pl "ci¹¿."
en "preg."
de "schw."

## "pullout"
pl "wyci¹gnij"
en "pull out"
de "ziehe raus"

## "putdown"
pl "odstaw"
en "put down"
de "ablegen"

## "readit"
pl "czytaj"
en "read"
de "lesen"

## "sparetime"
pl "Czas wolny"
en "Leisure time"
de "Freizeit"

## "squeeze"
pl "œciœnij"
en "squeeze"
de "zusammendrücken"

## "switch"
pl "prze³¹cz"
en "switch"
de "schalten"

## "switcher in use"
pl "Prze³¹cznik nie dzia³a"
en "Switch not usable"
de "Schalter nicht benutzbar"

## "turn"
pl "kolejka"
en "turn"
de "drehen"

## "unknown"
pl "nieznane"
en "unknown"
de "unbekannt"

## "unpack"
pl "rozpakuj"
en "unpack"
de "auspacken"

## "use"
pl "u¿yj:"
en "use"
de "benutzen"

## "walk through"
pl "przejdŸ"
en "walk through"
de "gehe durch"

## "walk"
pl "idŸ"
en "walk"
de "laufen"

## "walkto"
pl "idŸ do"
en "walk to"
de "gehe zu"

## "workat"
pl "pracuj"
en "work at"
de "arbeiten"

## "wurdeerobert"
pl "przejêto!"
en "has been taken over!"
de "wurde erobert!"

## "wurdezerstoert"
pl "zniszczono"
en "has been destroyed"
de "wurde zerstört"

## "zwerggeboren"
pl "Narodzi³ siê nowy karze³!"
en "A new dwarf is born!"
de "Neuer Zwerg geboren!"

## "ICQ_Found"
pl "Zalecamy zamkniêcie ICQ przed rozpoczêciem gry w Wiggles."
en "We strongly recommend to shut ICQ before playing Diggles."
de "Wir empfehlen dringend, ICQ zu schließen, bevor Wiggles gestartet wird."

## "WinAmp_Found"
pl "Zalecamy zamkniêcie WinAmpa przed rozpoczêciem gry w Wiggles."
en "We strongly recommend to shut WinAmp before playing Diggles."
de "Wir empfehlen dringend, WinAmp zu schließen, bevor Wiggles gestartet wird."

## "ICQ_WinAmp_Found"
pl "Zalecamy zamkniêcie ICQ i WinAmpa przed rozpoczêciem gry w Wiggles."
en "We strongly recommend to shut ICQ and WinAmp before playing Diggles."
de "Wir empfehlen dringend, ICQ und WinAmp zu schließen, bevor Wiggles gestartet wird."

## "Holzpuppe"
pl "Drewniany manekin"
en "Wooden dummy"
de "Holzpuppe"

## "Trainingspuppe"
pl "Manekin æwiczebny"
en "Training dummy"
de "Trainingspuppe"

